iterations,fitness,time
1520,2206.62735846,5.033752348
1530,2210.09057203,5.062309935
1540,2198.78664675,5.087991865
1550,2198.78664675,5.112214067
1560,2213.42422067,5.136024706
1570,2198.78664675,5.16620929
1580,2202.88268671,5.196609851
1590,2213.42422067,5.228745774
1600,2198.78664675,5.257201792
1610,2223.02839277,5.279540619
1620,2198.78664675,5.307724401
1630,2225.32743464,5.33605695
1640,2209.84220213,5.364438585
1650,2205.73105178,5.388888091
1660,2200.05766448,5.418321289
1670,2198.78664675,5.446395573
1680,2207.95550077,5.474838376
1690,2198.78664675,5.501477852
1700,2210.68986072,5.532094012
1710,2206.79636066,5.56265882
1720,2205.73105178,5.593686543
1730,2204.46488823,5.61900524
1740,2206.62735846,5.649907983
1750,2223.02839277,5.675503447
1760,2207.56164712,5.700563124
1770,2222.59307469,5.724325433
1780,2210.68986072,5.754539468
1790,2198.78664675,5.786141114
1800,2198.78664675,5.811329924
1810,2205.73105178,5.839108184
1820,2198.78664675,5.865570197
1830,2223.02839277,5.890924765
1840,2198.78664675,5.918196689
1850,2223.02839277,5.947239845
1860,2198.78664675,5.975458743
1870,2204.46488823,6.005013522
1880,2200.05766448,6.027406343
1890,2213.42422067,6.05538963
1900,2205.73105178,6.088460067
1910,2198.78664675,6.126530432
1920,2207.47654904,6.155445589
1930,2198.78664675,6.183516097
1940,2204.46488823,6.217939029
1950,2198.78664675,6.249017347
1960,2223.02839277,6.28056802
1970,2210.68986072,6.307094599
1980,2198.78664675,6.337726239
1990,2202.88268671,6.36638313
2000,2204.46488823,6.399513601
2010,2223.02839277,6.424328228
2020,2210.68986072,6.455931007
2030,2213.42422067,6.499641299
2040,2213.42422067,6.529990508
2050,2199.07953387,6.562465121
2060,2221.75737504,6.591015912
2070,2204.46488823,6.625850407
2080,2213.42422067,6.65585564
2090,2205.73105178,6.681055777
2100,2209.84220213,6.709950922
2110,2206.62735846,6.752218855
2120,2198.78664675,6.783161999
2130,2198.78664675,6.81241358
2140,2222.59307469,6.84296706
2150,2203.88659216,6.868502489
2160,2209.84220213,6.90457696
2170,2205.73105178,6.932267244
2180,2209.84220213,6.958067357
2190,2210.68986072,6.984749877
2200,2222.59307469,7.010790887
2210,2222.59307469,7.043771836
2220,2200.05766448,7.07308383
2230,2198.78664675,7.109513228
2240,2209.84220213,7.141248916
2250,2223.02839277,7.166424132
2260,2210.68986072,7.197575324
2270,2213.42422067,7.229148651
2280,2206.62735846,7.2602972
2290,2202.88268671,7.295181158
2300,2223.02839277,7.32400494
2310,2209.84220213,7.352729041
2320,2198.78664675,7.389395937
2330,2222.59307469,7.415741278
2340,2198.78664675,7.447987455
2350,2213.42422067,7.479581927
2360,2213.42422067,7.507798936
2370,2211.1251788,7.539624865
2380,2198.78664675,7.567927208
2390,2198.78664675,7.59847578
2400,2210.68986072,7.628315632
2410,2223.82237981,7.657303662
2420,2213.42422067,7.687455397
2430,2223.02839277,7.714661999
2440,2222.59307469,7.749914099
2450,2223.02839277,7.775246767
2460,2200.05766448,7.803410915
2470,2222.59307469,7.831115925
2480,2206.62735846,7.858314598
2490,2222.59307469,7.896471806
2500,2209.84220213,7.926959965
2510,2198.78664675,7.956639346
2520,2223.02839277,7.981938031
2530,2213.42422067,8.011612126
2540,2222.59307469,8.039268805
2550,2207.77135352,8.066563384
2560,2209.84220213,8.097427237
2570,2210.68986072,8.126633131
2580,2206.62735846,8.151933327
2590,2204.46488823,8.180938725
2600,2222.59307469,8.202419689
2610,2202.88268671,8.232421146
2620,2198.78664675,8.262272326
2630,2213.42422067,8.297144957
2640,2222.59307469,8.326994249
2650,2223.02839277,8.36060085
2660,2204.46488823,8.390529812
2670,2222.59307469,8.415264392
2680,2210.68986072,8.443700776
2690,2198.78664675,8.477954173
2700,2198.78664675,8.51165668
2710,2199.31416933,8.54851803
2720,2210.68986072,8.586071486
2730,2198.78664675,8.62773038
2740,2213.42422067,8.6623017
2750,2222.59307469,8.689502639
2760,2210.68986072,8.714305938
2770,2200.05766448,8.74135018
2780,2213.42422067,8.772361289
2790,2213.42422067,8.798608081
2800,2222.59307469,8.825422377
2810,2209.84220213,8.854381333
2820,2211.18205452,8.883539652
2830,2206.62735846,8.912523528
2840,2222.59307469,8.939641399
2850,2216.61151032,8.964468108
2860,2222.59307469,8.997520421
2870,2198.78664675,9.026151259
2880,2213.42422067,9.057828421
2890,2198.78664675,9.085221549
2900,2200.05766448,9.112285426
2910,2202.35450434,9.13603112
2920,2200.05766448,9.162656625
2930,2213.42422067,9.188473352
2940,2200.05766448,9.21571658
2950,2224.96581627,9.240818545
2960,2210.68986072,9.266762517
2970,2206.62735846,9.299695891
2980,2198.78664675,9.326356889
2990,2213.42422067,9.355685497
3000,2202.88268671,9.388819745
3010,2214.92668565,9.421249804
